year,temp
1958,-97
1959,-97
1960,-106
1961,-83
1962,-98
1963,-107
1964,-108
1965,-101
1966,-96
1967,-87
1968,-92
1969,-112
1970,-102
1971,-84
1972,-90
1973,-85
1974,-87
1975,-92
1976,-93
1977,-86
1978,-91
1979,-90
1980,-65
1981,-73
1982,-102
1983,-89
1984,-79
1985,-92
1986,-82
1987,-85
1988,-92
1989,-88
1990,-93
1991,-75
1992,-92
1993,-102
1994,-95
1995,-95
1996,-84
1997,-96
1998,-98
